method_name,display_name,step_id,epoch,train_ce,val_ce,train_val_gap,epoch_over_epoch_train_delta,epoch_over_epoch_val_delta,overfitting_signature,overfit_severity
simple_avg_kd_T2,SimpleAvg+KD,2,3,0.6318926676750183,0.760003173828125,0.1281105061531067,-0.06072351215471994,0.010016357183456392,True,0.010016357183456392
simple_avg_kd_T2,SimpleAvg+KD,3,1,1.6182933980431378,0.685813720703125,-0.9324796773400128,,,False,0.0
simple_avg_kd_T2,SimpleAvg+KD,3,2,0.5557670227328285,0.5303110370635986,-0.025455985669229908,-1.0625263753103091,-0.15550268363952635,False,0.0
simple_avg_kd_T2,SimpleAvg+KD,3,3,0.474437620306015,0.5291213359832764,0.05468371567726138,-0.08132940242681352,-0.0011897010803222363,False,0.0
simple_avg_kd_T2,SimpleAvg+KD,4,1,1.710949441512556,0.76218017578125,-0.9487692657313059,,,False,0.0
simple_avg_kd_T2,SimpleAvg+KD,4,2,0.5718291052540795,0.6381938474178315,0.06636474216375199,-1.1391203362584763,-0.1239863283634185,False,0.0
simple_avg_kd_T2,SimpleAvg+KD,4,3,0.4748422396183014,0.6062241213321686,0.13138188171386722,-0.09698686563577807,-0.03196972608566284,False,0.0
simple_avg_kd_T2,SimpleAvg+KD,5,1,1.4882532160137758,0.5508720698356628,-0.937381146178113,,,False,0.0
simple_avg_kd_T2,SimpleAvg+KD,5,2,0.4340251706174162,0.4440815434455871,0.0100563728281709,-1.0542280453963597,-0.10679052639007575,False,0.0
simple_avg_kd_T2,SimpleAvg+KD,5,3,0.3774328897953034,0.43259765625,0.055164766454696645,-0.05659228082211282,-0.011483887195587072,False,0.0
simple_avg_delta_orth,SimpleAvg+DeltaTrace,1,1,1.2376253547149965,0.2280023956596851,-1.0096229590553114,,,False,0.0
simple_avg_delta_orth,SimpleAvg+DeltaTrace,1,2,0.1369443636082234,0.1436051178574562,0.006660754249232792,-1.100680991106773,-0.08439727780222891,False,0.0
simple_avg_delta_orth,SimpleAvg+DeltaTrace,1,3,0.0722152295574545,0.1347330188900232,0.0625177893325687,-0.0647291340507689,-0.00887209896743299,False,0.0
simple_avg_delta_orth,SimpleAvg+DeltaTrace,2,1,1.4149451947690228,0.2636800384521484,-1.1512651563168745,,,False,0.0
simple_avg_delta_orth,SimpleAvg+DeltaTrace,2,2,0.1219374242773065,0.1653423881679773,0.043404963890670806,-1.2930077704917162,-0.09833765028417107,False,0.0
simple_avg_delta_orth,SimpleAvg+DeltaTrace,2,3,0.0597338174045085,0.1648398227542638,0.10510600534975528,-0.062203606872798,-0.0005025654137135183,False,0.0
simple_avg_delta_orth,SimpleAvg+DeltaTrace,3,1,1.7486689113653624,0.3142166910171509,-1.4344522203482115,,,False,0.0
simple_avg_delta_orth,SimpleAvg+DeltaTrace,3,2,0.2149558515822301,0.1744835405349731,-0.040472311047257015,-1.5337130597831323,-0.1397331504821778,False,0.0
simple_avg_delta_orth,SimpleAvg+DeltaTrace,3,3,0.1346582340896129,0.1595328798294067,0.02487464573979381,-0.08029761749261721,-0.014950660705566388,False,0.0
simple_avg_delta_orth,SimpleAvg+DeltaTrace,4,1,1.9242035406298703,0.4219882659614086,-1.5022152746684618,,,False,0.0
simple_avg_delta_orth,SimpleAvg+DeltaTrace,4,2,0.2617590337106195,0.256009323105216,-0.0057497106054034686,-1.6624445069192508,-0.16597894285619258,False,0.0
simple_avg_delta_orth,SimpleAvg+DeltaTrace,4,3,0.1540523436009883,0.2206846999973058,0.06663235639631751,-0.10770669010963119,-0.03532462310791021,False,0.0
simple_avg_delta_orth,SimpleAvg+DeltaTrace,5,1,1.7803345911826711,0.2085287928581237,-1.5718057983245475,,,False,0.0
simple_avg_delta_orth,SimpleAvg+DeltaTrace,5,2,0.1274687183074286,0.1295724257826805,0.0021037074752519036,-1.6528658728752426,-0.0789563670754432,False,0.0
simple_avg_delta_orth,SimpleAvg+DeltaTrace,5,3,0.0705454301208257,0.1243960647583007,0.053850634637475,-0.05692328818660289,-0.005176361024379794,False,0.0
simple_avg_factor_orth,SimpleAvg+FactorOrth,1,1,1.2376253547149965,0.2280023956596851,-1.0096229590553114,,,False,0.0
simple_avg_factor_orth,SimpleAvg+FactorOrth,1,2,0.1369443636082234,0.1436051178574562,0.006660754249232792,-1.100680991106773,-0.08439727780222891,False,0.0
simple_avg_factor_orth,SimpleAvg+FactorOrth,1,3,0.0722152295574545,0.1347330188900232,0.0625177893325687,-0.0647291340507689,-0.00887209896743299,False,0.0
simple_avg_factor_orth,SimpleAvg+FactorOrth,2,1,3.0226496381962558,1.3602204570770264,-1.6624291811192293,,,False,0.0
simple_avg_factor_orth,SimpleAvg+FactorOrth,2,2,0.6124646807303195,0.4119907832145691,-0.20047389751575034,-2.4101849574659364,-0.9482296738624574,False,0.0
simple_avg_factor_orth,SimpleAvg+FactorOrth,2,3,0.2615707434177399,0.3166697694063187,0.0550990259885788,-0.35089393731257956,-0.09532101380825042,False,0.0
simple_avg_factor_orth,SimpleAvg+FactorOrth,3,1,3.006429194818737,1.4215749473571777,-1.5848542474615592,,,False,0.0
simple_avg_factor_orth,SimpleAvg+FactorOrth,3,2,0.7592306765376544,0.5638715515136719,-0.19535912502398256,-2.2471985182810825,-0.8577033958435059,False,0.0
simple_avg_factor_orth,SimpleAvg+FactorOrth,3,3,0.4156804369688034,0.4332549419403076,0.0175745049715042,-0.343550239568851,-0.13061660957336424,False,0.0
simple_avg_factor_orth,SimpleAvg+FactorOrth,4,1,3.191737975114301,1.6415644540786742,-1.550173521035627,,,False,0.0
simple_avg_factor_orth,SimpleAvg+FactorOrth,4,2,0.9164149834484352,0.6750906982421875,-0.2413242852062477,-2.275322991665866,-0.9664737558364868,False,0.0
simple_avg_factor_orth,SimpleAvg+FactorOrth,4,3,0.4919535213470459,0.5148887786865234,0.02293525733947749,-0.4244614621013893,-0.1602019195556641,False,0.0
simple_avg_factor_orth,SimpleAvg+FactorOrth,5,1,3.0163696119516064,1.3137854022979736,-1.7025842096536328,,,False,0.0
simple_avg_factor_orth,SimpleAvg+FactorOrth,5,2,0.5850982804767421,0.3989497365951538,-0.18614854388158825,-2.431271331474864,-0.9148356657028198,False,0.0
